timestamp,M1,M2,M3,M4,pitch,roll,yaw,thrust,accel_x,accel_y,accel_z,angle_x,angle_y,angle_z
6817,-245.52,321.11,240.29,-283.82,-29.78,10.63,272.69,8.02,-0.17,-0.10,1.04,1.39,0.63
6818,-245.52,321.15,240.33,-283.84,-29.79,10.62,272.71,8.03,-0.16,-0.10,1.05,1.04,0.47
6819,-245.56,321.15,240.33,-283.90,-29.79,10.62,272.73,8.00,-0.16,-0.10,1.04,0.94,0.63
6820,-245.60,321.19,240.33,-283.92,-29.80,10.63,272.76,8.00,-0.16,-0.10,1.03,1.72,1.05
6821,-245.61,321.26,240.37,-283.90,-29.80,10.65,272.79,8.03,-0.16,-0.10,1.05,1.53,0.83
6822,-245.64,321.28,240.36,-283.97,-29.82,10.65,272.81,8.01,-0.16,-0.10,1.04,1.18,0.57
6823,-245.65,321.33,240.41,-283.98,-29.81,10.65,272.84,8.03,-0.16,-0.10,1.04,1.05,0.90
6824,-245.70,321.37,240.40,-284.01,-29.82,10.67,272.87,8.02,-0.16,-0.10,1.04,1.05,0.81
6825,-245.75,321.39,240.42,-284.03,-29.81,10.67,272.89,8.01,-0.16,-0.10,1.04,1.04,0.95
6826,-245.73,321.44,240.46,-284.04,-29.82,10.67,272.92,8.03,-0.16,-0.10,1.05,1.08,0.67
6827,-245.76,321.47,240.46,-284.09,-29.84,10.67,272.95,8.02,-0.16,-0.10,1.04,1.22,0.69
6828,-245.81,321.50,240.48,-284.10,-29.83,10.68,272.97,8.02,-0.16,-0.10,1.04,1.10,0.82
6829,-245.83,321.55,240.48,-284.13,-29.84,10.69,273.00,8.02,-0.16,-0.10,1.04,1.23,0.64
6830,-245.85,321.59,240.52,-284.15,-29.84,10.69,273.02,8.03,-0.16,-0.10,1.04,1.25,1.11
6831,-245.89,321.64,240.51,-284.17,-29.85,10.71,273.05,8.02,-0.16,-0.10,1.04,1.41,0.87
6832,-245.90,321.67,240.56,-284.19,-29.85,10.70,273.08,8.03,-0.16,-0.10,1.04,1.19,0.95
6833,-245.96,321.70,240.54,-284.24,-29.86,10.72,273.11,8.01,-0.16,-0.10,1.03,1.56,0.82
6834,-245.95,321.77,240.56,-284.25,-29.88,10.73,273.13,8.03,-0.16,-0.11,1.04,1.73,0.87
6835,-245.72,321.81,239.78,-284.11,-30.11,10.91,272.86,7.94,-0.19,-0.17,1.00,3.93,1.12
6836,-246.02,322.14,240.31,-283.82,-29.91,11.01,273.07,8.15,-0.19,-0.09,1.08,7.18,3.28
6837,-246.18,321.95,240.12,-284.07,-29.93,10.98,273.08,7.96,-0.16,-0.09,1.02,3.40,0.93
6838,-246.00,321.83,240.52,-284.41,-29.93,10.73,273.19,7.98,-0.12,-0.09,1.01,-4.17,-0.61
6839,-245.88,322.05,240.40,-284.29,-30.01,10.81,273.15,8.07,-0.16,-0.11,1.04,-1.14,-0.84
6840,-246.03,322.10,240.39,-284.28,-29.99,10.87,273.20,8.04,-0.15,-0.10,1.05,4.20,0.43
6841,-246.16,322.01,240.38,-284.30,-29.94,10.88,273.21,7.98,-0.15,-0.09,1.02,3.60,1.25
6842,-246.02,322.12,240.40,-284.36,-30.02,10.85,273.22,8.04,-0.16,-0.09,1.03,-0.54,-2.67
6843,-245.81,322.07,240.40,-284.37,-30.06,10.78,273.16,8.07,-0.16,-0.10,1.05,-3.16,-2.03
6844,-255.38,324.23,242.26,-275.83,-25.61,15.38,274.43,8.82,-1.06,2.00,1.44,189.99,59.07
6845,-252.72,322.20,239.89,-277.37,-26.74,14.41,273.04,8.00,-0.28,-0.11,1.22,61.47,59.90
6846,-247.01,321.04,240.32,-281.16,-28.72,11.64,272.38,8.30,0.02,-0.47,1.26,-69.56,-19.44
6847,-249.39,319.49,241.13,-279.05,-27.00,12.18,272.26,8.05,-0.22,0.13,1.15,-26.92,19.86
6848,-252.13,324.06,245.13,-289.02,-28.96,10.51,277.59,7.01,0.41,0.10,0.58,42.64,-111.12
6849,-248.92,321.11,243.13,-280.90,-27.49,11.50,273.51,8.61,-0.44,0.01,1.09,-36.27,24.32
6850,-249.76,322.30,243.43,-282.92,-28.01,11.43,274.60,8.26,-0.17,-0.01,1.17,1.36,-17.41
6851,-249.20,322.67,243.15,-283.71,-28.51,11.26,274.68,8.23,-0.13,-0.05,1.20,0.11,-33.63
6852,-250.61,322.34,243.35,-283.10,-27.87,11.63,274.85,8.00,-0.17,-0.04,1.09,16.02,12.88
6853,-250.09,322.50,243.25,-283.35,-28.13,11.50,274.80,8.08,-0.18,-0.08,1.08,1.92,-4.05
6854,-250.05,322.65,243.07,-282.86,-28.10,11.69,274.66,8.20,-0.19,-0.07,1.14,11.15,-1.97
6855,-251.71,323.75,243.42,-283.04,-27.92,12.25,275.48,8.10,-0.29,-0.03,1.12,19.69,1.85
6856,-251.89,322.94,244.63,-283.87,-27.57,11.58,275.83,7.95,-0.18,-0.01,1.03,-16.45,12.50
6857,-250.95,322.43,244.49,-283.60,-27.65,11.32,275.37,8.09,-0.12,-0.10,1.05,-11.27,13.26
6858,-250.30,322.01,244.94,-283.76,-27.63,10.90,275.25,8.22,-0.13,-0.17,1.13,-21.90,20.67
6859,-249.38,321.31,247.20,-286.05,-27.70,9.36,275.99,8.27,-0.11,-0.17,1.19,-83.18,13.37
6860,-248.49,320.20,248.98,-288.17,-27.73,7.88,276.46,8.13,-0.16,-0.16,1.15,-121.77,11.17
6861,-248.24,319.84,250.39,-289.75,-27.74,6.99,277.06,8.06,-0.19,-0.13,1.10,-115.84,7.97
6862,-248.09,318.54,251.66,-290.45,-27.31,6.13,277.19,7.92,-0.25,-0.14,1.00,-121.90,35.14
6863,-246.28,317.29,252.89,-292.01,-27.53,4.67,277.12,7.97,-0.23,-0.23,0.98,-148.72,30.81
6864,-244.78,316.24,254.63,-293.72,-27.64,3.17,277.34,8.09,-0.23,-0.33,1.02,-165.87,39.56
6865,-243.70,315.80,255.31,-294.78,-27.89,2.35,277.40,8.16,-0.23,-0.36,1.08,-139.74,32.31
